"","totalDelay"
"419",NA
"420",5
"421",NA
"422",5
"423",1.73205080756888
"424",NA
"425",NA
"426",14.8660687473185
"427",NA
"428",NA
"429",NA
"430",1
"431",NA
"432",NA
"433",NA
"434",2.82842712474619
"435",NA
"436",1
"437",NA
"438",5.47722557505166
"439",NA
"440",NA
"441",7.48331477354788
"442",3.60555127546399
"443",5.74456264653803
"444",9.38083151964686
"445",4.69041575982343
"446",NA
"447",NA
"448",NA
"449",2.64575131106459
"450",NA
"451",NA
"452",2
"453",NA
"454",NA
"455",6.92820323027551
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",6
"463",NA
"464",NA
"465",NA
"466",1.73205080756888
"467",3
"468",3.16227766016838
"469",2.23606797749979
"470",NA
"471",NA
"472",5.56776436283002
"473",NA
"474",1.73205080756888
"475",NA
"476",NA
"477",3.74165738677394
"478",8
"479",NA
"480",2.23606797749979
"481",NA
"482",NA
"483",NA
"484",NA
"485",NA
"486",NA
"487",6.85565460040104
"488",NA
"489",NA
"490",NA
"491",1.4142135623731
"492",6.2449979983984
"493",5.29150262212918
"494",NA
"495",NA
"496",NA
"497",NA
"498",3.60555127546399
"499",NA
"500",3
"501",NA
"502",NA
"503",NA
"504",NA
"505",NA
"506",NA
"507",2
"508",NA
"509",4
"510",NA
"511",1
"512",5.29150262212918
"513",NA
"514",5
"515",4.12310562561766
"516",6.92820323027551
"517",NA
"518",NA
"519",NA
"520",7.07106781186548
"521",NA
"522",NA
"523",NA
"524",3.16227766016838
"525",NA
"526",NA
"527",5.91607978309962
"528",NA
"529",NA
"530",NA
"531",NA
"532",1.73205080756888
"533",5.65685424949238
"534",NA
"535",NA
"536",0
"537",NA
"538",NA
"539",1.4142135623731
"540",NA
"541",NA
"542",4.24264068711928
"543",NA
"544",2.44948974278318
"545",NA
"546",3.74165738677394
"547",NA
"548",2.44948974278318
"549",NA
"550",NA
"551",NA
"552",NA
"553",11.8321595661992
"554",4
"555",5
"556",0
"557",NA
"558",NA
"559",NA
"560",4.47213595499958
"561",NA
"562",7.93725393319377
"563",2.23606797749979
"564",9.48683298050514
"565",1.4142135623731
"566",3.60555127546399
"567",NA
"568",1.4142135623731
"569",NA
"570",7.48331477354788
"571",2.44948974278318
"572",NA
"573",NA
"574",3
"575",7.14142842854285
"576",NA
"577",NA
"578",NA
"579",NA
"580",4.69041575982343
"581",NA
"582",NA
"583",NA
"584",NA
"585",5.19615242270663
"586",NA
"587",1.4142135623731
"588",NA
"589",NA
"590",NA
"591",3.74165738677394
"592",8.88819441731559
"593",NA
"594",NA
"595",NA
"596",NA
"597",NA
"598",NA
"599",NA
"600",NA
"601",0
"602",2.64575131106459
"603",5.47722557505166
"604",4.12310562561766
"605",NA
"606",NA
"607",NA
"608",7.28010988928052
"609",NA
"610",NA
"611",14.7309198626562
"612",NA
"613",NA
"614",3.16227766016838
"615",NA
"616",NA
"617",NA
"618",NA
"619",NA
"620",15.0665191733194
"621",NA
"622",NA
"623",NA
"624",NA
"625",NA
"626",7.34846922834953
"627",NA
"628",NA
"629",NA
"630",3.74165738677394
"631",8.77496438739212
"632",NA
"633",NA
"634",13.6014705087354
"635",2
"636",NA
"637",3.16227766016838
"638",NA
"639",7.41619848709566
"640",1.73205080756888
"641",NA
"642",2
"643",4
"644",NA
"645",7.34846922834953
"646",NA
"647",NA
"648",NA
"649",1
"650",NA
"651",18.2208671582886
"652",3.3166247903554
"653",7
"654",NA
"655",1.4142135623731
"656",9.21954445729289
"657",NA
"658",NA
"659",NA
"660",NA
"661",0
"662",NA
"663",NA
"664",NA
"665",6.557438524302
"666",NA
"667",NA
"668",NA
"669",1.4142135623731
"670",4.79583152331272
"671",3.16227766016838
"672",15.7797338380595
"673",13.9642400437689
"674",NA
"675",11.7898261225516
"676",NA
"677",0
"678",2.82842712474619
"679",2
"680",0
"681",NA
"682",NA
"683",NA
"684",NA
"685",7.28010988928052
"686",NA
"687",2.44948974278318
"688",3
"689",NA
"690",0
"691",NA
"692",NA
"693",NA
"694",3.3166247903554
"695",NA
"696",NA
"697",4.47213595499958
"698",NA
"699",3
"700",NA
"701",NA
"702",1.4142135623731
"703",1
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",2.82842712474619
"713",NA
"714",NA
"715",NA
"716",3.16227766016838
"717",7.28010988928052
"718",1.73205080756888
"719",NA
"720",NA
"721",5
"722",NA
"723",1.73205080756888
"724",1
"725",NA
"726",NA
"727",3.87298334620742
"728",14.5945195193264
"729",1
"730",NA
"731",8.42614977317636
"732",1
"733",NA
"734",NA
"735",4.24264068711928
"736",NA
"737",3.74165738677394
"738",4.35889894354067
"739",NA
"740",NA
"741",17
"742",NA
"743",NA
"744",5.29150262212918
"745",2.23606797749979
"746",NA
"747",7.28010988928052
"748",NA
"749",NA
"750",13.228756555323
"751",0
"752",NA
"753",NA
"754",NA
"755",NA
"756",NA
"757",NA
"758",7.54983443527075
"759",4.89897948556636
"760",3.87298334620742
"761",NA
"762",NA
"763",NA
"764",NA
"765",NA
"766",NA
"767",NA
"768",2
"769",NA
"770",NA
"771",4.12310562561766
"772",NA
"773",6.16441400296898
"774",NA
"775",NA
"776",NA
"777",1
"778",NA
"779",NA
"780",NA
"781",NA
"782",5.29150262212918
"783",0
"784",1
"785",5.19615242270663
"786",NA
"787",NA
"788",17.5783958312469
"789",NA
"790",5.65685424949238
"791",3.46410161513775
"792",NA
"793",3.46410161513775
"794",2.23606797749979
"795",NA
"796",20.174241001832
"797",NA
"798",NA
"799",NA
"800",NA
"801",NA
"802",NA
"803",0
"804",7.81024967590665
"805",NA
"806",8.83176086632785
"807",NA
"808",5.19615242270663
"809",NA
"810",2.82842712474619
"811",4.24264068711928
"812",NA
"813",NA
"814",1.4142135623731
"815",2
"816",NA
"817",NA
"818",NA
"819",7.48331477354788
"820",1.4142135623731
"821",NA
"822",NA
"823",8.18535277187245
"824",3.16227766016838
"825",NA
"826",NA
"827",9.9498743710662
"828",5.91607978309962
"829",28.9136645896019
"830",7.48331477354788
"831",NA
"832",NA
"833",3.3166247903554
"834",NA
"835",9.4339811320566
"836",NA
"837",3
"838",13.8202749610853
"839",7.21110255092798
"840",NA
"841",NA
"842",NA
"843",3.87298334620742
"844",5.3851648071345
"845",NA
"846",0
"847",NA
"848",4.12310562561766
"849",4.89897948556636
"850",2.23606797749979
"851",NA
"852",2.44948974278318
"853",1.4142135623731
"854",3.3166247903554
"855",6.92820323027551
"856",14.142135623731
"857",NA
"858",NA
"859",NA
"860",NA
"861",NA
"862",NA
"863",7.87400787401181
"864",NA
"865",6.6332495807108
"866",5
"867",8.06225774829855
"868",0
"869",4.24264068711928
"870",NA
"871",NA
"872",NA
"873",1.73205080756888
"874",NA
"875",0
"876",3.16227766016838
"877",0
"878",NA
"879",6.32455532033676
"880",5.56776436283002
"881",1.73205080756888
"882",NA
"883",0
"884",17.7482393492988
"885",NA
"886",NA
"887",5.56776436283002
"888",10.1980390271856
"889",NA
"890",6.92820323027551
"891",8.48528137423857
"892",0
"893",3.46410161513775
"894",NA
"895",5.65685424949238
"896",NA
"897",7.87400787401181
"898",9.9498743710662
"899",NA
"900",NA
"901",NA
"902",16.583123951777
"903",9.89949493661167
"904",9.8488578017961
"905",2
"906",2.82842712474619
"907",NA
"908",NA
"909",NA
"910",0
